Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Anomaly_type,Leakage
INV105891,CUST001609,SVC7741,AGT149,Paid,Recharge,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-North,200,102.33,30,2025,7,4,2025,7,2,2025,8,1,31,No anomaly,No
INV104090,CUST000951,SVC3575,AGT075,Paid,Bill Payment,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-North,50,34.36,30,2023,11,10,2023,11,7,2023,12,7,31,No anomaly,No
INV101289,CUST003362,SVC3298,AGT037,Paid,Recharge,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-B,1000,56.26,30,2024,10,19,2024,10,14,2024,11,13,31,No anomaly,No
INV103639,CUST007355,SVC3180,AGT143,Pending,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,539.38,30,2025,7,28,2025,7,27,2025,8,26,31,No anomaly,No
INV105419,CUST004430,SVC3930,AGT144,Paid,Plan Change,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-West,100,42.85,30,2024,4,14,2024,4,12,2024,5,12,31,No anomaly,No
INV102605,CUST005381,SVC6776,AGT148,Paid,New Connection,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Rural-Zone,15,2.03,30,2025,3,24,2025,3,23,2025,4,22,31,No anomaly,No
INV102980,CUST001463,SVC7501,AGT102,Paid,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Metro-B,10,1.1,30,2023,12,22,2023,12,18,2024,1,17,31,No anomaly,No
INV100498,CUST004241,SVC3213,AGT078,Pending,New Connection,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,5.66,30,2025,6,13,2025,6,12,2025,7,12,31,No anomaly,No
INV104801,CUST007788,SVC7021,AGT090,Paid,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-South,200,148.39,30,2025,5,21,2025,5,18,2025,6,17,31,No anomaly,No
INV103106,CUST002402,SVC2708,AGT027,Pending,Recharge,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,308.39,31,2023,11,10,2023,11,6,2023,12,7,32,No anomaly,No
INV104841,CUST003917,SVC9227,AGT008,Paid,Renewal,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-West,15,6.63,30,2025,1,24,2025,1,21,2025,2,20,31,No anomaly,No
INV105733,CUST006689,SVC8531,AGT020,Pending,Recharge,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Metro-A,40,30.29,30,2025,3,19,2025,3,16,2025,4,15,31,No anomaly,No
INV102287,CUST000961,SVC9840,AGT071,Pending,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Metro-B,500,424.07,30,2025,6,20,2025,6,17,2025,7,17,31,No anomaly,No
INV104969,CUST006748,SVC8638,AGT004,Paid,Plan Change,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Metro-B,25,18.97,30,2025,2,18,2025,2,15,2025,3,17,31,No anomaly,No
INV105803,CUST001773,SVC4568,AGT010,Pending,Renewal,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Metro-A,50,35.89,30,2024,12,25,2024,12,24,2025,1,23,31,No anomaly,No
INV100118,CUST005451,SVC7929,AGT014,Pending,Renewal,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-North,1000,335.92,31,2024,5,25,2024,5,24,2024,6,24,32,No anomaly,No
INV102458,CUST003764,SVC5900,AGT082,Paid,Plan Change,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-West,30,23.95,30,2025,4,12,2025,4,11,2025,5,11,31,No anomaly,No
INV100470,CUST003377,SVC5256,AGT040,Pending,Renewal,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Metro-A,40,11.7,30,2024,11,16,2024,11,15,2024,12,15,31,No anomaly,No
INV104718,CUST005059,SVC9464,AGT060,Pending,Recharge,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-South,50,22.36,31,2024,1,8,2024,1,4,2024,2,4,32,No anomaly,No
INV102274,CUST001079,SVC1070,AGT022,Pending,Recharge,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-North,75,28.66,31,2025,7,28,2025,7,27,2025,8,27,32,No anomaly,No
INV104225,CUST000375,SVC8101,AGT110,Pending,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,2.29,31,2024,6,6,2024,6,2,2024,7,3,32,No anomaly,No
INV105896,CUST004018,SVC9267,AGT149,Paid,Renewal,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-West,500,352.68,30,2024,9,11,2024,9,9,2024,10,9,31,No anomaly,No
INV104161,CUST006235,SVC9275,AGT047,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-North,25,6.72,28,2024,11,29,2024,11,24,2024,12,22,29,No anomaly,No
INV104520,CUST000764,SVC3859,AGT123,Pending,Recharge,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Circle-West,15,13.91,28,2024,6,27,2024,6,23,2024,7,21,29,No anomaly,No
INV104882,CUST001064,SVC8652,AGT150,Pending,Plan Change,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,3.0,28,2024,12,20,2024,12,17,2025,1,14,29,No anomaly,No
INV104955,CUST000337,SVC4298,AGT094,Pending,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Rural-Zone,150,114.65,31,2023,12,16,2023,12,13,2024,1,13,32,No anomaly,No
INV103761,CUST000479,SVC6693,AGT042,Pending,Recharge,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-A,15,13.25,30,2025,5,27,2025,5,22,2025,6,21,31,No anomaly,No
INV102808,CUST004478,SVC3404,AGT086,Pending,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-North,150,112.53,30,2024,12,13,2024,12,12,2025,1,11,31,No anomaly,No
INV105532,CUST008000,SVC8904,AGT066,Pending,New Connection,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-South,200,17.08,28,2025,7,22,2025,7,20,2025,8,17,29,No anomaly,No
INV105615,CUST005624,SVC2744,AGT131,Pending,Renewal,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Rural-Zone,15,4.84,31,2025,8,22,2025,8,17,2025,9,17,32,No anomaly,No
INV104369,CUST000115,SVC9261,AGT056,Paid,Bill Payment,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Metro-B,25,11.18,30,2025,6,10,2025,6,8,2025,7,8,31,No anomaly,No
INV103070,CUST000646,SVC5506,AGT070,Pending,Bill Payment,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,14.71,31,2023,11,29,2023,11,26,2023,12,27,32,No anomaly,No
INV102866,CUST000876,SVC8082,AGT128,Pending,Bill Payment,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-South,750,31.55,30,2023,10,31,2023,10,30,2023,11,29,31,No anomaly,No
INV102825,CUST003016,SVC9933,AGT060,Paid,Bill Payment,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Circle-North,40,7.56,30,2024,6,5,2024,6,3,2024,7,3,31,No anomaly,No
INV104300,CUST002416,SVC5706,AGT059,Pending,Plan Change,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-West,500,334.83,31,2024,1,1,2023,12,28,2024,1,28,32,Usage mismatch,No
INV105273,CUST006922,SVC9478,AGT013,Pending,Bill Payment,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-B,15,10.35,31,2024,10,3,2024,9,29,2024,10,30,32,Usage mismatch,No
INV104545,CUST004796,SVC1769,AGT119,Pending,Renewal,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,376.75,30,2024,4,8,2024,4,5,2024,5,5,31,No anomaly,No
INV102397,CUST007769,SVC3647,AGT043,Paid,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-West,150,47.98,30,2025,4,28,2025,4,24,2025,5,24,31,No anomaly,No
INV102708,CUST002171,SVC9123,AGT096,Pending,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,773.03,31,2025,5,24,2025,5,23,2025,6,23,32,No anomaly,No
INV101489,CUST003796,SVC3136,AGT107,Pending,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,8.38,31,2024,5,13,2024,5,9,2024,6,9,32,Usage mismatch,No
INV100292,CUST002090,SVC2685,AGT147,Paid,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-West,1000,349.3,30,2024,7,4,2024,6,30,2024,7,30,31,No anomaly,No
INV101080,CUST005435,SVC2021,AGT061,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Rural-Zone,100,87.8,30,2025,8,12,2025,8,7,2025,9,6,31,No anomaly,No
INV101318,CUST007954,SVC1867,AGT092,Pending,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Rural-Zone,750,614.7,30,2023,11,27,2023,11,22,2023,12,22,31,No anomaly,No
INV105531,CUST000287,SVC4126,AGT080,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Rural-Zone,100,3.07,30,2024,11,18,2024,11,13,2024,12,13,31,No anomaly,No
INV105638,CUST000699,SVC5420,AGT060,Paid,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-South,150,112.48,30,2024,1,4,2024,1,2,2024,2,1,31,No anomaly,No
INV101645,CUST007977,SVC7879,AGT044,Pending,Bill Payment,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-North,50,24.67,31,2025,1,13,2025,1,11,2025,2,11,32,No anomaly,No
INV104489,CUST006939,SVC6930,AGT068,Pending,Recharge,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-A,150,65.29,31,2025,1,18,2025,1,14,2025,2,14,32,No anomaly,No
INV104341,CUST000512,SVC7190,AGT029,Paid,Renewal,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Metro-A,40,21.99,30,2024,10,15,2024,10,11,2024,11,10,31,No anomaly,No
INV105172,CUST000792,SVC5465,AGT044,Paid,New Connection,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,24.85,30,2024,3,6,2024,3,3,2024,4,2,31,No anomaly,No
INV103730,CUST007252,SVC7678,AGT020,Paid,New Connection,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-East,15,2.91,30,2024,11,4,2024,10,31,2024,11,30,31,No anomaly,No
INV101059,CUST002026,SVC4347,AGT027,Paid,Recharge,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Rural-Zone,50,24.69,30,2025,7,12,2025,7,10,2025,8,9,31,No anomaly,No
