Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10009,CUST4895,SRV001,13-01-2023,Paid,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,4,10.0,200.0,210.0,248.6582908,-38.65829079,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,10009,0,210.0,Anomaly,Excess Payment
INV10029,CUST8630,SRV002,20-12-2023,Failed,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12.0,240.0,252.0,0.0,252.0,60.0,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,10029,0,292.0,Anomaly,Missing Charges
INV10030,CUST6835,SRV002,24-09-2024,Paid,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108.0,600.0,748.0,643.7494163,104.2505837,200.0,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,10030,0,748.0,Anomaly,Under Payment
INV10031,CUST3570,SRV001,24-11-2023,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1,3024.0,Anomaly,Duplicate Entries
INV10031,CUST4268,SRV003,10-02-2024,Paid,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350.0,369.6851516,369.6851516,0.0,350.0,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,10031,1,447.5,Anomaly,Duplicate Entries
INV10046,CUST3151,SRV002,24-10-2023,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071888,-34.70718877,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0,241.6,Anomaly,Excess Payment
INV10048,CUST6461,SRV001,04-07-2024,Failed,Sale,Credit Card,Coffee Powder (200g),No Service,Beverages,No Service,5,315.0,1750.0,1835.645773,0.0,1835.645773,350.0,0.18,0,0,Branch A,CASH013,SUP182,12:28:51,New,Online,10048,0,2065.0,Anomaly,Missing Charges
INV10052,CUST6200,SRV001,23-04-2023,Paid,Return,Net Banking,Milk (1L),No Service,Dairy & Eggs,No Service,10,108.0,600.0,708.0,823.9389497,-115.9389497,60.0,0.18,0,0,Main Store,CASH007,SUP123,20:17:25,New,In-Store,10052,0,708.0,Anomaly,Excess Payment
INV10064,CUST7234,SRV002,19-07-2024,Paid,Sale,Debit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,1,10.8,60.0,110.8,85.3420552,25.4579448,60.0,0.18,40,0,Branch B,CASH005,SUP199,21:15:22,Premium,In-Store,10064,0,110.8,Anomaly,Under Payment
INV10067,CUST2518,SRV001,16-11-2023,Paid,Sale,Net Banking,Toothpaste (150g),No Service,Personal Care,No Service,4,43.2,240.0,283.2,254.7383221,28.46167794,60.0,0.18,0,0,Branch B,CASH002,SUP151,02:56:17,Premium,In-Store,10067,0,283.2,Anomaly,Under Payment
INV10071,CUST7457,SRV001,20-02-2024,Pending,Return,Cash,Apples (1kg),No Service,Fruits,No Service,8,172.8,960.0,991.2195425,0.0,991.2195425,120.0,0.18,0,0,Branch B,CASH011,SUP103,04:48:54,Regular,Online,10071,0,1132.8,Anomaly,Missing Charges
INV10081,CUST1403,SRV001,15-08-2024,Paid,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,9,243.0,1350.0,1593.0,1834.950649,-241.9506488,150.0,0.18,0,0,Main Store,CASH003,SUP135,08:32:45,Regular,In-Store,10081,0,1593.0,Anomaly,Excess Payment
