Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10002,CUST8861,SRV002,17-12-2023,Paid,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24.0,480.0,544.0,544.0,0.0,120.0,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,10002,0,544.0,No Leakage,No Anomaly
INV10008,CUST6820,SRV003,23-05-2024,Failed,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,10008,0,103.6,No Leakage,No Anomaly
INV10009,CUST4895,SRV001,13-01-2023,Paid,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,4,10.0,200.0,210.0,248.6582908,-38.65829079,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,10009,0,210.0,Anomaly,Excess Payment
INV10014,CUST8666,SRV003,08-11-2023,Failed,Sale,UPI,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,3,43.2,240.0,363.2,0.0,363.2,80.0,0.18,80,0,Online,CASH003,SUP156,14:10:44,Wholesale,In-Store,10014,0,363.2,No Leakage,No Anomaly
INV10019,CUST7397,SRV002,12-02-2024,Paid,Return,Debit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162.0,900.0,1102.0,1102.0,0.0,100.0,0.18,40,0,Online,CASH013,SUP160,19:03:48,Wholesale,Phone,10019,0,1102.0,No Leakage,No Anomaly
INV10029,CUST8630,SRV002,20-12-2023,Failed,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12.0,240.0,252.0,0.0,252.0,60.0,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,10029,0,292.0,Anomaly,Missing Charges
INV10030,CUST6835,SRV002,24-09-2024,Paid,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108.0,600.0,748.0,643.7494163,104.2505837,200.0,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,10030,0,748.0,Anomaly,Under Payment
INV10031,CUST3570,SRV001,24-11-2023,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1,3024.0,Anomaly,Duplicate Entries
INV10031,CUST4268,SRV003,10-02-2024,Paid,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350.0,369.6851516,369.6851516,0.0,350.0,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,10031,1,447.5,Anomaly,Duplicate Entries
INV10033,CUST6461,SRV001,13-09-2024,Paid,Sale,Net Banking,Apples (1kg),No Service,Fruits,No Service,9,194.4,1080.0,1274.4,1274.4,0.0,120.0,0.18,0,0,Branch B,CASH019,SUP161,10:19:07,New,In-Store,10033,0,1274.4,No Leakage,No Anomaly
INV10045,CUST4221,SRV001,25-08-2024,Failed,Sale,UPI,Tea Powder (250g),No Service,Beverages,No Service,7,151.2,840.0,991.2,0.0,991.2,120.0,0.18,0,0,Branch B,CASH019,SUP197,22:23:45,Wholesale,In-Store,10045,0,991.2,No Leakage,No Anomaly
INV10046,CUST3151,SRV002,24-10-2023,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071888,-34.70718877,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0,241.6,Anomaly,Excess Payment
INV10048,CUST6461,SRV001,04-07-2024,Failed,Sale,Credit Card,Coffee Powder (200g),No Service,Beverages,No Service,5,315.0,1750.0,1835.645773,0.0,1835.645773,350.0,0.18,0,0,Branch A,CASH013,SUP182,12:28:51,New,Online,10048,0,2065.0,Anomaly,Missing Charges
INV10050,CUST1335,SRV003,07-08-2024,Pending,Return,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,129.6,720.0,929.6,0.0,929.6,180.0,0.18,80,0,Branch A,CASH001,SUP100,17:31:17,Wholesale,In-Store,10050,0,929.6,No Leakage,No Anomaly
INV10052,CUST6200,SRV001,23-04-2023,Paid,Return,Net Banking,Milk (1L),No Service,Dairy & Eggs,No Service,10,108.0,600.0,708.0,823.9389497,-115.9389497,60.0,0.18,0,0,Main Store,CASH007,SUP123,20:17:25,New,In-Store,10052,0,708.0,Anomaly,Excess Payment
INV10053,CUST7944,SRV003,15-08-2024,Failed,Return,Cheque,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,86.4,720.0,886.4,0.0,886.4,180.0,0.12,80,0,Online,CASH015,SUP127,14:58:57,New,Phone,10053,0,886.4,No Leakage,No Anomaly
INV10054,CUST3364,SRV003,07-12-2023,Paid,Return,Credit Card,Tomatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,2,7.2,60.0,147.2,147.2,0.0,30.0,0.12,80,0,Main Store,CASH006,SUP178,02:22:52,New,Phone,10054,0,147.2,No Leakage,No Anomaly
INV10064,CUST7234,SRV002,19-07-2024,Paid,Sale,Debit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,1,10.8,60.0,110.8,85.3420552,25.4579448,60.0,0.18,40,0,Branch B,CASH005,SUP199,21:15:22,Premium,In-Store,10064,0,110.8,Anomaly,Under Payment
INV10065,CUST4139,SRV003,27-04-2024,Failed,Return,Credit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,2,25.0,500.0,605.0,0.0,605.0,250.0,0.05,80,0,Main Store,CASH001,SUP196,17:58:28,New,Phone,10065,0,605.0,No Leakage,No Anomaly
INV10067,CUST2518,SRV001,16-11-2023,Paid,Sale,Net Banking,Toothpaste (150g),No Service,Personal Care,No Service,4,43.2,240.0,283.2,254.7383221,28.46167794,60.0,0.18,0,0,Branch B,CASH002,SUP151,02:56:17,Premium,In-Store,10067,0,283.2,Anomaly,Under Payment
INV10068,CUST3177,SRV003,17-08-2024,Failed,Sale,Debit Card,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,4,19.2,160.0,259.2,0.0,259.2,40.0,0.12,80,0,Main Store,CASH018,SUP114,09:45:47,New,Online,10068,0,259.2,No Leakage,No Anomaly
INV10071,CUST7457,SRV001,20-02-2024,Pending,Return,Cash,Apples (1kg),No Service,Fruits,No Service,8,172.8,960.0,991.2195425,0.0,991.2195425,120.0,0.18,0,0,Branch B,CASH011,SUP103,04:48:54,Regular,Online,10071,0,1132.8,Anomaly,Missing Charges
INV10072,CUST8874,SRV001,05-03-2023,Pending,Return,UPI,Chips (100g),No Service,Snacks,No Service,9,32.4,180.0,212.4,0.0,212.4,20.0,0.18,0,0,Branch A,CASH007,SUP106,15:53:01,New,In-Store,10072,0,212.4,No Leakage,No Anomaly
INV10081,CUST1403,SRV001,15-08-2024,Paid,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,9,243.0,1350.0,1593.0,1834.950649,-241.9506488,150.0,0.18,0,0,Main Store,CASH003,SUP135,08:32:45,Regular,In-Store,10081,0,1593.0,Anomaly,Excess Payment
INV10083,CUST2866,SRV002,02-03-2023,Failed,Return,Cash,Coffee Powder (200g),Standard Delivery,Beverages,Delivery Services,4,252.0,1400.0,1692.0,0.0,1692.0,350.0,0.18,40,0,Branch B,CASH002,SUP151,14:08:48,Premium,In-Store,10083,0,1692.0,No Leakage,No Anomaly
INV10084,CUST5658,SRV001,06-06-2024,Paid,Sale,Cheque,Eggs (12 pack),No Service,Dairy & Eggs,No Service,9,31.5,630.0,661.5,661.5,0.0,70.0,0.05,0,0,Branch B,CASH012,SUP115,19:36:27,Premium,Phone,10084,0,661.5,No Leakage,No Anomaly
INV10088,CUST2175,SRV003,02-08-2024,Paid,Return,Net Banking,Biscuits (200g),Express Delivery,Snacks,Delivery Services,9,13.5,270.0,363.5,305.0353623,58.46463766,30.0,0.05,80,0,Branch B,CASH016,SUP175,12:21:42,Regular,Phone,10088,0,363.5,Anomaly,Under Payment
INV10089,CUST3511,SRV003,24-10-2023,Paid,Sale,UPI,Biscuits (200g),Express Delivery,Snacks,Delivery Services,4,6.0,120.0,206.0,238.7263318,-32.72633183,30.0,0.05,80,0,Branch A,CASH018,SUP174,03:36:09,Regular,Online,10089,0,206.0,Anomaly,Excess Payment
INV10095,CUST7224,SRV001,24-03-2023,Failed,Return,Cheque,Oranges (1kg),No Service,Fruits,No Service,1,14.4,80.0,94.4,0.0,94.4,80.0,0.18,0,0,Branch A,CASH013,SUP141,11:47:17,Premium,In-Store,10095,0,94.4,No Leakage,No Anomaly
INV10097,CUST8604,SRV003,27-08-2024,Pending,Sale,Credit Card,Apples (1kg),Express Delivery,Fruits,Delivery Services,6,86.4,720.0,886.4,0.0,886.4,120.0,0.12,80,0,Branch B,CASH012,SUP160,10:14:47,Regular,Phone,10097,1,886.4,Anomaly,Duplicate Entries
INV10097,CUST2899,SRV002,31-12-2023,Paid,Sale,Net Banking,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,33.6,280.0,353.6,353.6,0.0,70.0,0.12,40,0,Main Store,CASH010,SUP152,13:06:14,Premium,In-Store,10097,1,353.6,Anomaly,Duplicate Entries
INV10104,CUST1254,SRV003,18-03-2024,Failed,Return,Net Banking,Fish (1kg),Express Delivery,Meat & Fish,Delivery Services,10,540.0,3000.0,3540.0,0.0,3540.0,300.0,0.18,80,0,Main Store,CASH004,SUP110,00:51:29,New,Online,10104,0,3620.0,No Leakage,No Anomaly
INV10105,CUST3255,SRV003,14-05-2023,Failed,Sale,Cash,Biscuits (200g),Express Delivery,Snacks,Delivery Services,1,3.6,30.0,107.8646998,0.0,107.8646998,30.0,0.12,80,0,Online,CASH001,SUP105,04:13:43,Wholesale,In-Store,10105,0,113.6,Anomaly,Missing Charges
