Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10009,CUST4895,SRV001,2023-01-13,Paid,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,4,10.0,200.0,210.0,248.65829079318075,-38.658290793180754,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,10009,0,210.0,Anomaly,Excess Payment
INV10029,CUST8630,SRV002,2023-12-20,Failed,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12.0,240.0,252.0,0.0,252.0,60.0,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,10029,0,292.0,Anomaly,Missing Charges
INV10030,CUST6835,SRV002,2024-09-24,Paid,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108.0,600.0,748.0,643.7494163480827,104.25058365191728,200.0,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,10030,0,748.0,Anomaly,Under Payment
INV10031,CUST3570,SRV001,2023-11-24,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1,3024.0,Anomaly,Duplicate Entries
INV10031,CUST4268,SRV003,2024-02-10,Paid,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350.0,369.6851516125725,369.6851516125725,0.0,350.0,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,10031,1,447.5,Anomaly,Duplicate Entries
INV10046,CUST3151,SRV002,2023-10-24,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071887681234,-34.707188768123416,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0,241.6,Anomaly,Excess Payment
INV10048,CUST6461,SRV001,2024-07-04,Failed,Sale,Credit Card,Coffee Powder (200g),No Service,Beverages,No Service,5,315.0,1750.0,1835.6457734915432,0.0,1835.6457734915432,350.0,0.18,0,0,Branch A,CASH013,SUP182,12:28:51,New,Online,10048,0,2065.0,Anomaly,Missing Charges
INV10052,CUST6200,SRV001,2023-04-23,Paid,Return,Net Banking,Milk (1L),No Service,Dairy & Eggs,No Service,10,108.0,600.0,708.0,823.9389496543065,-115.9389496543065,60.0,0.18,0,0,Main Store,CASH007,SUP123,20:17:25,New,In-Store,10052,0,708.0,Anomaly,Excess Payment
INV10064,CUST7234,SRV002,2024-07-19,Paid,Sale,Debit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,1,10.8,60.0,110.8,85.34205519716627,25.457944802833723,60.0,0.18,40,0,Branch B,CASH005,SUP199,21:15:22,Premium,In-Store,10064,0,110.8,Anomaly,Under Payment
INV10067,CUST2518,SRV001,2023-11-16,Paid,Sale,Net Banking,Toothpaste (150g),No Service,Personal Care,No Service,4,43.2,240.0,283.2,254.7383220552804,28.46167794471961,60.0,0.18,0,0,Branch B,CASH002,SUP151,02:56:17,Premium,In-Store,10067,0,283.2,Anomaly,Under Payment
INV10071,CUST7457,SRV001,2024-02-20,Pending,Return,Cash,Apples (1kg),No Service,Fruits,No Service,8,172.79999999999998,960.0,991.2195425363424,0.0,991.2195425363424,120.0,0.18,0,0,Branch B,CASH011,SUP103,04:48:54,Regular,Online,10071,0,1132.8,Anomaly,Missing Charges
INV10081,CUST1403,SRV001,2024-08-15,Paid,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,9,243.0,1350.0,1593.0,1834.9506488046711,-241.95064880467112,150.0,0.18,0,0,Main Store,CASH003,SUP135,08:32:45,Regular,In-Store,10081,0,1593.0,Anomaly,Excess Payment
INV10088,CUST2175,SRV003,2024-08-02,Paid,Return,Net Banking,Biscuits (200g),Express Delivery,Snacks,Delivery Services,9,13.5,270.0,363.5,305.03536234342613,58.46463765657387,30.0,0.05,80,0,Branch B,CASH016,SUP175,12:21:42,Regular,Phone,10088,0,363.5,Anomaly,Under Payment
INV10089,CUST3511,SRV003,2023-10-24,Paid,Sale,UPI,Biscuits (200g),Express Delivery,Snacks,Delivery Services,4,6.0,120.0,206.0,238.72633182759225,-32.72633182759222,30.0,0.05,80,0,Branch A,CASH018,SUP174,03:36:09,Regular,Online,10089,0,206.0,Anomaly,Excess Payment
INV10097,CUST2899,SRV002,2023-12-31,Paid,Sale,Net Banking,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,4,33.6,280.0,353.6,353.6,0.0,70.0,0.12,40,0,Main Store,CASH010,SUP152,13:06:14,Premium,In-Store,10097,1,353.6,Anomaly,Duplicate Entries
INV10097,CUST8604,SRV003,2024-08-27,Pending,Sale,Credit Card,Apples (1kg),Express Delivery,Fruits,Delivery Services,6,86.39999999999999,720.0,886.4,0.0,886.4,120.0,0.12,80,0,Branch B,CASH012,SUP160,10:14:47,Regular,Phone,10097,1,886.4,Anomaly,Duplicate Entries
INV10105,CUST3255,SRV003,2023-05-14,Failed,Sale,Cash,Biscuits (200g),Express Delivery,Snacks,Delivery Services,1,3.6,30.0,107.86469978589264,0.0,107.86469978589264,30.0,0.12,80,0,Online,CASH001,SUP105,04:13:43,Wholesale,In-Store,10105,0,113.6,Anomaly,Missing Charges
INV10107,CUST1345,SRV003,2024-12-13,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,9,81.0,450.0,531.0,0.0,531.0,50.0,0.18,80,0,Branch A,CASH012,SUP178,13:43:40,New,In-Store,10107,0,611.0,Anomaly,Missing Charges
INV10108,CUST5961,SRV002,2023-05-16,Paid,Return,Credit Card,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,4,60.0,1200.0,1300.0,987.7211055932564,312.2788944067436,300.0,0.05,40,0,Online,CASH013,SUP199,11:43:00,Premium,Phone,10108,0,1300.0,Anomaly,Under Payment
INV10109,CUST1050,SRV002,2024-07-05,Paid,Return,UPI,Wheat Flour (1kg),Standard Delivery,Grains & Cereals,Delivery Services,1,8.1,45.0,53.1,53.1,0.0,45.0,0.18,40,0,Main Store,CASH004,SUP114,16:17:44,Premium,Phone,10109,0,93.1,Anomaly,Missing Charges
INV10120,CUST8759,SRV002,2023-05-02,Paid,Sale,UPI,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,30.0,600.0,670.0,519.1465668742,150.85343312580005,200.0,0.05,40,0,Branch A,CASH013,SUP147,12:03:52,New,Online,10120,0,670.0,Anomaly,Under Payment
INV10122,CUST9232,SRV003,2023-06-17,Paid,Sale,Cheque,Potatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,1,6.3,35.0,115.67016928633238,115.67016928633238,0.0,35.0,0.18,80,0,Branch B,CASH014,SUP116,11:51:40,Premium,Phone,10122,0,121.3,Anomaly,Missing Charges
INV10136,CUST6855,SRV003,2023-05-24,Failed,Return,Credit Card,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,3,9.0,180.0,269.0,133.66867933721335,135.33132066278665,60.0,0.05,80,0,Branch A,CASH006,SUP121,07:03:27,Wholesale,Online,10136,0,269.0,Anomaly,Payment Status Mismatch
INV10145,CUST7660,SRV001,2023-09-19,Failed,Return,Debit Card,Detergent (1kg),No Service,Household,No Service,3,72.0,600.0,672.0,193.38039559577007,478.6196044042298,200.0,0.12,0,0,Main Store,CASH007,SUP160,00:09:55,Wholesale,In-Store,10145,0,672.0,Anomaly,Payment Status Mismatch
