Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,Invoice_Num_Int,Is_Duplicate,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Leakage,Anomaly_type
INV100006,CUST002006,SVC3677,AGT119,2024-12-31,Paid,Recharge,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,2024-12-30,2025-01-30,Circle-West,1000,507.43,31,100006,0,2024,12,31,2024,12,30,2025,1,30,32,Yes,Usage mismatch
INV100007,CUST000263,SVC6168,AGT103,2025-01-29,Paid,Renewal,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,2025-01-26,2025-02-26,Metro-B,500,108.8,31,100007,0,2025,1,29,2025,1,26,2025,2,26,32,Yes,Usage mismatch
INV100011,CUST004399,SVC5371,AGT088,2025-03-29,Paid,New Connection,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,2025-03-28,2025-04-28,Circle-South,1000,647.62,31,100011,0,2025,3,29,2025,3,28,2025,4,28,32,Yes,Usage mismatch
INV100013,CUST004003,SVC1319,AGT029,2025-03-04,Paid,Renewal,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,2025-02-27,2025-03-30,Rural-Zone,15,8.53,31,100013,0,2025,3,4,2025,2,27,2025,3,30,32,Yes,Usage mismatch
INV100021,CUST004429,SVC1241,AGT024,2024-01-21,Paid,Plan Change,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,2024-01-20,2024-02-20,Circle-South,150,92.93,31,100021,0,2024,1,21,2024,1,20,2024,2,20,32,Yes,Usage mismatch
INV100024,CUST004161,SVC2312,AGT048,2025-08-05,Paid,New Connection,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,2025-07-31,2025-08-31,Metro-A,750,40.53,31,100024,0,2025,8,5,2025,7,31,2025,8,31,32,Yes,Usage mismatch
INV100025,CUST000326,SVC2343,AGT108,2025-01-25,Paid,Bill Payment,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,2025-01-24,2025-02-21,Circle-East,500,274.99,28,100025,0,2025,1,25,2025,1,24,2025,2,21,29,Yes,Usage mismatch
INV100027,CUST001747,SVC9288,AGT068,2025-06-03,Paid,Plan Change,UPI,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,2025-05-29,2025-06-29,Metro-A,150,10.44,31,100027,0,2025,6,3,2025,5,29,2025,6,29,32,Yes,Usage mismatch
INV100029,CUST007289,SVC2753,AGT142,2023-09-10,Paid,Plan Change,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,2023-09-09,2023-10-10,Circle-North,1000,251.24,31,100029,0,2023,9,10,2023,9,9,2023,10,10,32,Yes,Usage mismatch
INV100030,CUST006988,SVC5325,AGT130,2023-12-14,Paid,Recharge,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,2023-12-11,2024-01-11,Rural-Zone,500,326.56,31,100030,0,2023,12,14,2023,12,11,2024,1,11,32,Yes,Usage mismatch
INV100032,CUST007235,SVC3442,AGT140,2024-11-10,Paid,New Connection,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,2024-11-09,2024-12-10,Circle-North,750,53.61,31,100032,0,2024,11,10,2024,11,9,2024,12,10,32,Yes,Usage mismatch
INV100033,CUST007365,SVC1653,AGT092,2025-04-26,Paid,Plan Change,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,2025-04-24,2025-05-22,Metro-B,500,146.42,28,100033,0,2025,4,26,2025,4,24,2025,5,22,29,Yes,Usage mismatch
