Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10002,CUST8861,SRV002,17-12-2023,Paid,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24.0,480.0,544.0,544.0,0.0,120.0,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,10002,0,544.0,No Leakage,No Anomaly
INV10008,CUST6820,SRV003,23-05-2024,Failed,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,10008,0,103.6,No Leakage,No Anomaly
INV10014,CUST8666,SRV003,08-11-2023,Failed,Sale,UPI,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,3,43.2,240.0,363.2,0.0,363.2,80.0,0.18,80,0,Online,CASH003,SUP156,14:10:44,Wholesale,In-Store,10014,0,363.2,No Leakage,No Anomaly
INV10019,CUST7397,SRV002,12-02-2024,Paid,Return,Debit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162.0,900.0,1102.0,1102.0,0.0,100.0,0.18,40,0,Online,CASH013,SUP160,19:03:48,Wholesale,Phone,10019,0,1102.0,No Leakage,No Anomaly
INV10033,CUST6461,SRV001,13-09-2024,Paid,Sale,Net Banking,Apples (1kg),No Service,Fruits,No Service,9,194.4,1080.0,1274.4,1274.4,0.0,120.0,0.18,0,0,Branch B,CASH019,SUP161,10:19:07,New,In-Store,10033,0,1274.4,No Leakage,No Anomaly
INV10045,CUST4221,SRV001,25-08-2024,Failed,Sale,UPI,Tea Powder (250g),No Service,Beverages,No Service,7,151.2,840.0,991.2,0.0,991.2,120.0,0.18,0,0,Branch B,CASH019,SUP197,22:23:45,Wholesale,In-Store,10045,0,991.2,No Leakage,No Anomaly
INV10050,CUST1335,SRV003,07-08-2024,Pending,Return,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,129.6,720.0,929.6,0.0,929.6,180.0,0.18,80,0,Branch A,CASH001,SUP100,17:31:17,Wholesale,In-Store,10050,0,929.6,No Leakage,No Anomaly
INV10053,CUST7944,SRV003,15-08-2024,Failed,Return,Cheque,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,4,86.4,720.0,886.4,0.0,886.4,180.0,0.12,80,0,Online,CASH015,SUP127,14:58:57,New,Phone,10053,0,886.4,No Leakage,No Anomaly
INV10054,CUST3364,SRV003,07-12-2023,Paid,Return,Credit Card,Tomatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,2,7.2,60.0,147.2,147.2,0.0,30.0,0.12,80,0,Main Store,CASH006,SUP178,02:22:52,New,Phone,10054,0,147.2,No Leakage,No Anomaly
INV10065,CUST4139,SRV003,27-04-2024,Failed,Return,Credit Card,Chicken (1kg),Express Delivery,Meat & Fish,Delivery Services,2,25.0,500.0,605.0,0.0,605.0,250.0,0.05,80,0,Main Store,CASH001,SUP196,17:58:28,New,Phone,10065,0,605.0,No Leakage,No Anomaly
INV10068,CUST3177,SRV003,17-08-2024,Failed,Sale,Debit Card,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,4,19.2,160.0,259.2,0.0,259.2,40.0,0.12,80,0,Main Store,CASH018,SUP114,09:45:47,New,Online,10068,0,259.2,No Leakage,No Anomaly
INV10072,CUST8874,SRV001,05-03-2023,Pending,Return,UPI,Chips (100g),No Service,Snacks,No Service,9,32.4,180.0,212.4,0.0,212.4,20.0,0.18,0,0,Branch A,CASH007,SUP106,15:53:01,New,In-Store,10072,0,212.4,No Leakage,No Anomaly
INV10083,CUST2866,SRV002,02-03-2023,Failed,Return,Cash,Coffee Powder (200g),Standard Delivery,Beverages,Delivery Services,4,252.0,1400.0,1692.0,0.0,1692.0,350.0,0.18,40,0,Branch B,CASH002,SUP151,14:08:48,Premium,In-Store,10083,0,1692.0,No Leakage,No Anomaly
INV10084,CUST5658,SRV001,06-06-2024,Paid,Sale,Cheque,Eggs (12 pack),No Service,Dairy & Eggs,No Service,9,31.5,630.0,661.5,661.5,0.0,70.0,0.05,0,0,Branch B,CASH012,SUP115,19:36:27,Premium,Phone,10084,0,661.5,No Leakage,No Anomaly
INV10095,CUST7224,SRV001,24-03-2023,Failed,Return,Cheque,Oranges (1kg),No Service,Fruits,No Service,1,14.4,80.0,94.4,0.0,94.4,80.0,0.18,0,0,Branch A,CASH013,SUP141,11:47:17,Premium,In-Store,10095,0,94.4,No Leakage,No Anomaly
INV10104,CUST1254,SRV003,18-03-2024,Failed,Return,Net Banking,Fish (1kg),Express Delivery,Meat & Fish,Delivery Services,10,540.0,3000.0,3540.0,0.0,3540.0,300.0,0.18,80,0,Main Store,CASH004,SUP110,00:51:29,New,Online,10104,0,3620.0,No Leakage,No Anomaly
INV10106,CUST7281,SRV001,07-02-2023,Failed,Sale,UPI,Cooking Oil (1L),No Service,Pantry Staples,No Service,4,108.0,600.0,708.0,0.0,708.0,150.0,0.18,0,0,Branch A,CASH006,SUP146,09:34:39,Wholesale,Phone,10106,0,708.0,No Leakage,No Anomaly
INV10110,CUST2798,SRV003,05-12-2023,Failed,Return,Credit Card,Bread (500g),Express Delivery,Bakery,Delivery Services,7,33.6,280.0,393.6,0.0,393.6,40.0,0.12,80,0,Branch A,CASH014,SUP179,21:19:05,Wholesale,In-Store,10110,0,393.6,No Leakage,No Anomaly
INV10116,CUST1405,SRV003,10-01-2024,Paid,Return,Debit Card,Bananas (1kg),Express Delivery,Fruits,Delivery Services,4,36.0,200.0,316.0,316.0,0.0,50.0,0.18,80,0,Online,CASH006,SUP101,22:24:54,Regular,Phone,10116,0,316.0,No Leakage,No Anomaly
INV10124,CUST2796,SRV003,11-11-2023,Failed,Return,Credit Card,Chips (100g),Express Delivery,Snacks,Delivery Services,7,25.2,140.0,245.2,0.0,245.2,20.0,0.18,80,0,Main Store,CASH020,SUP124,18:55:04,Premium,Phone,10124,0,245.2,No Leakage,No Anomaly
INV10127,CUST4725,SRV003,27-06-2024,Failed,Sale,Net Banking,Tea Powder (250g),Express Delivery,Beverages,Delivery Services,8,172.8,960.0,1212.8,0.0,1212.8,120.0,0.18,80,0,Main Store,CASH016,SUP143,15:15:39,Wholesale,Online,10127,0,1212.8,No Leakage,No Anomaly
INV10128,CUST5500,SRV001,11-06-2024,Pending,Return,Credit Card,Dishwash Soap (500ml),No Service,Household,No Service,2,19.2,160.0,179.2,0.0,179.2,80.0,0.12,0,0,Online,CASH017,SUP157,04:07:32,Wholesale,Online,10128,0,179.2,No Leakage,No Anomaly
INV10131,CUST6205,SRV002,10-05-2024,Pending,Return,UPI,Sugar (1kg),Standard Delivery,Pantry Staples,Delivery Services,10,54.0,450.0,544.0,0.0,544.0,45.0,0.12,40,0,Branch B,CASH011,SUP156,06:36:03,Regular,In-Store,10131,0,544.0,No Leakage,No Anomaly
INV10137,CUST5455,SRV002,19-09-2024,Pending,Return,Cash,Oranges (1kg),Standard Delivery,Fruits,Delivery Services,7,67.2,560.0,667.2,0.0,667.2,80.0,0.12,40,0,Branch A,CASH012,SUP139,22:41:55,Regular,Online,10137,0,667.2,No Leakage,No Anomaly
INV10139,CUST5243,SRV003,13-07-2024,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,7,17.5,350.0,447.5,0.0,447.5,50.0,0.05,80,0,Branch B,CASH020,SUP117,04:37:24,Regular,Phone,10139,0,447.5,No Leakage,No Anomaly
INV10142,CUST3719,SRV003,26-03-2023,Failed,Sale,Cash,Apples (1kg),Express Delivery,Fruits,Delivery Services,4,24.0,480.0,584.0,0.0,584.0,120.0,0.05,80,0,Branch A,CASH007,SUP184,06:08:58,Premium,Phone,10142,0,584.0,No Leakage,No Anomaly
INV10146,CUST9938,SRV001,17-12-2023,Paid,Return,Debit Card,Rice (1kg),No Service,Grains & Cereals,No Service,5,15.0,300.0,315.0,315.0,0.0,60.0,0.05,0,0,Branch B,CASH009,SUP160,11:03:20,Wholesale,In-Store,10146,0,315.0,No Leakage,No Anomaly
INV10153,CUST3961,SRV001,10-08-2023,Paid,Sale,UPI,Salt (1kg),No Service,Pantry Staples,No Service,10,10.0,200.0,210.0,210.0,0.0,20.0,0.05,0,0,Branch A,CASH011,SUP144,21:18:16,Premium,Phone,10153,0,210.0,No Leakage,No Anomaly
INV10154,CUST8974,SRV001,31-07-2023,Pending,Return,Net Banking,Butter (100g),No Service,Dairy & Eggs,No Service,10,90.0,500.0,590.0,0.0,590.0,50.0,0.18,0,0,Main Store,CASH015,SUP199,11:04:55,Wholesale,Online,10154,0,590.0,No Leakage,No Anomaly
INV10156,CUST6960,SRV003,04-12-2023,Paid,Sale,Cheque,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,3,15.0,300.0,395.0,395.0,0.0,100.0,0.05,80,0,Online,CASH011,SUP106,15:21:40,Regular,In-Store,10156,0,395.0,No Leakage,No Anomaly
INV10162,CUST6125,SRV003,29-04-2024,Failed,Sale,Cheque,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,36.0,720.0,836.0,0.0,836.0,80.0,0.05,80,0,Online,CASH012,SUP115,20:22:53,New,Online,10162,0,836.0,No Leakage,No Anomaly
INV10163,CUST9854,SRV001,12-06-2023,Pending,Return,UPI,Onions (1kg),No Service,Fresh Vegetables,No Service,9,18.0,360.0,378.0,0.0,378.0,40.0,0.05,0,0,Branch A,CASH019,SUP118,05:02:47,Wholesale,Online,10163,0,378.0,No Leakage,No Anomaly
INV10167,CUST7184,SRV002,30-04-2024,Failed,Sale,Cheque,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,10,17.5,350.0,407.5,0.0,407.5,35.0,0.05,40,0,Main Store,CASH001,SUP146,09:26:59,Wholesale,Phone,10167,0,407.5,No Leakage,No Anomaly
