Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,Invoice_Num_Int,Is_Duplicate,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Leakage,Anomaly_type
INV100000,CUST006034,SVC2679,AGT140,2025-03-28,Paid,New Connection,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,2025-03-25,2025-04-24,Circle-South,200,42.41,30,100000,0,2025,3,28,2025,3,25,2025,4,24,31,No,No anomaly
INV100001,CUST000218,SVC4257,AGT140,2024-07-02,Paid,Recharge,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,2024-06-30,2024-07-30,Circle-South,50,24.0,30,100001,0,2024,7,2,2024,6,30,2024,7,30,31,No,No anomaly
INV100002,CUST001274,SVC4527,AGT087,2023-10-23,Pending,New Connection,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2023-10-21,2023-11-20,Circle-South,1000,323.24,30,100002,0,2023,10,23,2023,10,21,2023,11,20,31,No,No anomaly
INV100003,CUST005978,SVC8527,AGT138,2024-02-18,Pending,New Connection,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,2024-02-13,2024-03-12,Metro-A,30,23.0,28,100003,0,2024,2,18,2024,2,13,2024,3,12,29,No,No anomaly
INV100004,CUST005772,SVC2139,AGT012,2025-07-12,Pending,Plan Change,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-07-07,2025-08-07,Circle-North,1000,548.48,31,100004,0,2025,7,12,2025,7,7,2025,8,7,32,No,Usage mismatch
INV100005,CUST006834,SVC6977,AGT042,2025-06-26,Pending,Renewal,UPI,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,2025-06-22,2025-07-22,Metro-B,100,43.07,30,100005,0,2025,6,26,2025,6,22,2025,7,22,31,No,No anomaly
INV100008,CUST005267,SVC8517,AGT037,2025-01-18,Pending,Renewal,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-01-14,2025-02-13,Metro-B,1000,840.45,30,100008,0,2025,1,18,2025,1,14,2025,2,13,31,No,No anomaly
INV100009,CUST003272,SVC6930,AGT057,2025-04-23,Pending,Plan Change,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,2025-04-18,2025-05-19,Circle-South,1000,852.93,31,100009,0,2025,4,23,2025,4,18,2025,5,19,32,No,Usage mismatch
INV100010,CUST003459,SVC2040,AGT099,2024-03-17,Paid,Recharge,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,2024-03-15,2024-04-14,Circle-South,50,37.62,30,100010,0,2024,3,17,2024,3,15,2024,4,14,31,No,No anomaly
INV100012,CUST000872,SVC5889,AGT130,2024-08-07,Paid,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,2024-08-04,2024-09-03,Metro-B,150,72.34,30,100012,0,2024,8,7,2024,8,4,2024,9,3,31,No,No anomaly
