Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Leakage_Flag,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Anomaly_Type,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt
INV10002,CUST8861,SRV002,2023-12-17,Paid,No Leakage,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24.0,480.0,544.0,544.0,0.0,120.0,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,No Anomaly,10002,0,544.0
INV10008,CUST6820,SRV003,2024-05-23,Failed,No Leakage,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,No Anomaly,10008,0,103.6
INV10009,CUST4895,SRV001,2023-01-13,Paid,Anomaly,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,4,10.0,200.0,210.0,248.65829079318075,-38.658290793180754,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,Excess Payment,10009,0,210.0
INV10014,CUST8666,SRV003,2023-11-08,Failed,No Leakage,Sale,UPI,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,3,43.2,240.0,363.2,0.0,363.2,80.0,0.18,80,0,Online,CASH003,SUP156,14:10:44,Wholesale,In-Store,No Anomaly,10014,0,363.2
INV10019,CUST7397,SRV002,2024-02-12,Paid,No Leakage,Return,Debit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162.0,900.0,1102.0,1102.0,0.0,100.0,0.18,40,0,Online,CASH013,SUP160,19:03:48,Wholesale,Phone,No Anomaly,10019,0,1102.0
INV10029,CUST8630,SRV002,2023-12-20,Failed,Anomaly,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12.0,240.0,252.0,0.0,252.0,60.0,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,Missing Charges,10029,0,292.0
INV10030,CUST6835,SRV002,2024-09-24,Paid,Anomaly,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108.0,600.0,748.0,643.7494163480827,104.25058365191728,200.0,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,Under Payment,10030,0,748.0
INV10031,CUST3570,SRV001,2023-11-24,Paid,Anomaly,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,Duplicate Entries,10031,1,3024.0
INV10031,CUST4268,SRV003,2024-02-10,Paid,Anomaly,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350.0,369.6851516125725,369.6851516125725,0.0,350.0,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,Duplicate Entries,10031,1,447.5
INV10033,CUST6461,SRV001,2024-09-13,Paid,No Leakage,Sale,Net Banking,Apples (1kg),No Service,Fruits,No Service,9,194.4,1080.0,1274.4,1274.4,0.0,120.0,0.18,0,0,Branch B,CASH019,SUP161,10:19:07,New,In-Store,No Anomaly,10033,0,1274.4
INV10045,CUST4221,SRV001,2024-08-25,Failed,No Leakage,Sale,UPI,Tea Powder (250g),No Service,Beverages,No Service,7,151.2,840.0,991.2,0.0,991.2,120.0,0.18,0,0,Branch B,CASH019,SUP197,22:23:45,Wholesale,In-Store,No Anomaly,10045,0,991.2
