Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate
INV10002,CUST8861,SRV002,17-12-2023,Paid,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24,480,544,544,0,120,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,10002,0
INV10008,CUST6820,SRV003,23-05-2024,Failed,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20,103.6,0,103.6,20,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,10008,0
INV10009,CUST4895,SRV001,13-01-2023,Paid,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,4,10,200,210,248.6582908,-38.65829079,50,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,10009,0
INV10014,CUST8666,SRV003,08-11-2023,Failed,Sale,UPI,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,3,43.2,240,363.2,0,363.2,80,0.18,80,0,Online,CASH003,SUP156,14:10:44,Wholesale,In-Store,10014,0
INV10019,CUST7397,SRV002,12-02-2024,Paid,Return,Debit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162,900,1102,1102,0,100,0.18,40,0,Online,CASH013,SUP160,19:03:48,Wholesale,Phone,10019,0
INV10029,CUST8630,SRV002,20-12-2023,Failed,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12,240,252,0,252,60,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,10029,0
INV10030,CUST6835,SRV002,24-09-2024,Paid,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108,600,748,643.7494163,104.2505837,200,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,10030,0
INV10031,CUST3570,SRV001,24-11-2023,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324,2700,3024,3024,0,300,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1
INV10031,CUST4268,SRV003,10-02-2024,Paid,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350,369.6851516,369.6851516,0,350,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,10031,1
INV10033,CUST6461,SRV001,13-09-2024,Paid,Sale,Net Banking,Apples (1kg),No Service,Fruits,No Service,9,194.4,1080,1274.4,1274.4,0,120,0.18,0,0,Branch B,CASH019,SUP161,10:19:07,New,In-Store,10033,0
